SampleID	X	Y	Size	Estimation.Type	fore_Green	back_Green	fore_Red	back_Red	Signal.to.Noise	Pvalue	FDR	Out.Index	Other.Spots	Cells
1772-064-103_D01	214	243	18	Fluorescence-based	149.3475	25.66316	18.60758	14.42976	2.49538133	1.06E-04	2.36E-04	confidence	X = 214, Y = 243 (Green) | X = 5, Y = 175 (Red)	1
1772-064-103_D02	216	214	24	Fluorescence-based	104.27568	25.33282	137.13077	14.34575	3.17012418	9.70E-06	3.52E-05	confidence	0	1
1772-064-103_D03	215	244	25	Fluorescence-based	119.45338	25.17855	72.97664	15.07594	2.20216704	6.46E-06	2.64E-05	confidence	0	1
1772-064-103_D04	211	246	49	Chip.Pattern-based	30.33127314	24.65726696	17.22478197	14.2905401	0.288235893	0.999998324	1	confidence	X = 223, Y = 96 (Green) | X = 24, Y = 470 (Red)	0
1772-064-103_D05	212	207	26	Fluorescence-based	87.19469	24.8951	128.33267	14.11105	3.09741079	4.39E-06	1.91E-05	confidence	0	1
1772-064-103_D06	208	239	19	Fluorescence-based	59.05669	25.18732	163.54273	14.08881	3.44691116	7.13E-05	1.69E-04	confidence	0	1
1772-064-103_D07	218	209	21	Fluorescence-based	240.85145	25.45876	200.28384	14.63656	3.68623639	3.19E-05	8.73E-05	confidence	0	1
1772-064-103_D08	219	243	20	Fluorescence-based	30.64459048	25.35852551	94.14318584	15.11852131	2.561380935	4.75777E-05	0.000119286	confidence	X = 419, Y = 495 (Green) | X = 219, Y = 243 (Red)	0
1772-064-103_D09	217	213	19	Fluorescence-based	36.84517075	25.10719611	90.7489153	14.37462461	2.577139916	7.11772E-05	0.000168638	confidence	0	0
1772-064-103_D10	211	207	27	Fluorescence-based	54.9045	24.93815	119.33026	14.44103	2.96215865	2.96E-06	1.40E-05	confidence	0	1
1772-064-103_D11	212	238	22	Fluorescence-based	74.52169	24.61918	44.3439	14.15919	1.58071609	2.13E-05	6.47E-05	confidence	0	1
1772-064-103_D12	212	206	28	Fluorescence-based	37.3643	24.83599	47.52547	14.50151	1.64633318	1.97E-06	1.05E-05	confidence	0	1
1772-064-103_E01	218	238	12	Fluorescence-based	57.05806	25.34761	152.72255	14.34283	3.32469219	1.26E-03	2.09E-03	confidence	0	1
1772-064-103_E02	217	206	12	Fluorescence-based	218.31216	25.3986	260.55212	14.79263	4.04977535	1.26E-03	2.09E-03	confidence	0	1
1772-064-103_E03	219	241	46	Fluorescence-based	39.77624702	25.69916469	17.99293587	15.24622294	0.610934392	0.01116024	0.017084812	confidence	X = 219, Y = 241 (Green) | X = 481, Y = 69 (Red)	0
1772-064-103_E04	206	238	30	Fluorescence-based	160.66606	25.04195	18.97714	14.36405	2.63410745	9.08E-07	5.64E-06	confidence	0	1
1772-064-103_E05	217	202	28	Fluorescence-based	74.24425	24.76408	16.6511	14.24115	1.54622005	1.98E-06	1.05E-05	confidence	0	1
1772-064-103_E06	212	234	17	Fluorescence-based	42.8867	26.38476	47.60095	14.4519	1.65319979	1.59E-04	3.29E-04	confidence	0	1
1772-064-103_E08	222	235	29	Fluorescence-based	166.2199889	26.64684865	16.60048007	16.18202821	2.596560364	1.34576E-06	7.82222E-06	confidence	X = 222, Y = 235 (Green) | X = 145, Y = 433 (Red)	0
1772-064-103_E09	223	203	33	Fluorescence-based	117.4701891	25.70913477	217.5977631	16.02124124	3.682870487	2.8136E-07	2.23156E-06	confidence	0	0
1772-064-103_E10	217	198	23	Fluorescence-based	46.1834	24.55976	108.08981	13.90953	2.87120953	1.44E-05	4.88E-05	confidence	0	1
1772-064-103_E11	216	230	33	Fluorescence-based	82.92167244	24.73076502	102.5706393	14.08874607	2.779070257	2.80486E-07	2.23156E-06	confidence	0	0
1772-064-103_F01	221	229	9	Fluorescence-based	35.16676823	24.94057718	85.9289606	14.55698546	2.482274364	0.004545349	0.007045291	confidence	X = 10, Y = 237 (Green) | X = 221, Y = 229 (Red)	0
1772-064-103_F02	222	200	31	Fluorescence-based	39.72221	25.67494	69.99391	14.16388	2.22705653	6.13E-07	3.99E-06	confidence	0	1
1772-064-103_F05	216	196	24	Fluorescence-based	48.02818	24.54937	95.78793	13.86201	2.70319795	9.68E-06	3.52E-05	confidence	0	1
1772-064-103_F06	217	226	14	Fluorescence-based	133.52308	24.7347	216.63073	14.01494	3.85741145	5.45E-04	9.81E-04	confidence	0	1
